,Pclass_n,Sex_n,Age_n,Ticket_n,Fare_n,Survived
856,0.0,0.0,59.0,453.0,239.0,
857,0.0,1.0,66.0,23.0,143.0,
858,2.0,0.0,31.0,194.0,116.0,
859,2.0,1.0,88.0,178.0,17.0,
860,2.0,1.0,55.0,399.0,92.0,
861,1.0,1.0,27.0,221.0,76.0,
862,0.0,0.0,63.0,88.0,137.0,
863,2.0,0.0,88.0,568.0,205.0,
864,1.0,1.0,31.0,120.0,85.0,
865,1.0,0.0,56.0,126.0,85.0,
866,1.0,0.0,35.0,632.0,89.0,
867,0.0,1.0,41.0,590.0,184.0,
868,2.0,1.0,88.0,309.0,64.0,
869,2.0,1.0,8.0,344.0,74.0,
870,2.0,1.0,34.0,387.0,40.0,
871,0.0,0.0,62.0,54.0,188.0,
872,0.0,1.0,44.0,502.0,2.0,
873,2.0,1.0,62.0,303.0,58.0,
874,1.0,0.0,36.0,575.0,132.0,
875,2.0,0.0,20.0,195.0,16.0,
876,2.0,1.0,25.0,504.0,69.0,
877,2.0,1.0,24.0,358.0,40.0,
878,2.0,1.0,88.0,363.0,40.0,
879,0.0,0.0,72.0,59.0,221.0,
880,1.0,0.0,33.0,115.0,138.0,
881,2.0,1.0,44.0,394.0,40.0,
882,2.0,0.0,28.0,508.0,73.0,
883,1.0,1.0,36.0,565.0,72.0,
884,2.0,1.0,33.0,650.0,12.0,
885,2.0,0.0,52.0,480.0,151.0,
886,1.0,1.0,35.0,101.0,85.0,
887,0.0,0.0,24.0,14.0,153.0,
888,2.0,0.0,88.0,675.0,131.0,
889,0.0,1.0,34.0,8.0,153.0,
890,2.0,1.0,42.0,466.0,30.0,
0,,,,,,0.0
1,,,,,,1.0
2,,,,,,1.0
3,,,,,,1.0
4,,,,,,0.0
5,,,,,,0.0
6,,,,,,0.0
7,,,,,,0.0
8,,,,,,1.0
9,,,,,,1.0
10,,,,,,1.0
11,,,,,,1.0
12,,,,,,0.0
13,,,,,,0.0
14,,,,,,0.0
15,,,,,,1.0
16,,,,,,0.0
17,,,,,,1.0
18,,,,,,0.0
19,,,,,,1.0
20,,,,,,0.0
21,,,,,,1.0
22,,,,,,1.0
23,,,,,,1.0
24,,,,,,0.0
25,,,,,,1.0
26,,,,,,0.0
27,,,,,,0.0
28,,,,,,1.0
29,,,,,,0.0
30,,,,,,0.0
31,,,,,,1.0
32,,,,,,1.0
33,,,,,,0.0
34,,,,,,0.0
35,,,,,,0.0
36,,,,,,1.0
37,,,,,,0.0
38,,,,,,0.0
39,,,,,,1.0
40,,,,,,0.0
41,,,,,,0.0
42,,,,,,0.0
43,,,,,,1.0
44,,,,,,1.0
45,,,,,,0.0
46,,,,,,0.0
47,,,,,,1.0
48,,,,,,0.0
49,,,,,,0.0
50,,,,,,0.0
51,,,,,,0.0
52,,,,,,1.0
53,,,,,,1.0
54,,,,,,0.0
55,,,,,,1.0
56,,,,,,1.0
57,,,,,,0.0
58,,,,,,1.0
59,,,,,,0.0
60,,,,,,0.0
61,,,,,,1.0
62,,,,,,0.0
63,,,,,,0.0
64,,,,,,0.0
65,,,,,,1.0
66,,,,,,1.0
67,,,,,,0.0
68,,,,,,1.0
69,,,,,,0.0
70,,,,,,0.0
71,,,,,,0.0
72,,,,,,0.0
73,,,,,,0.0
74,,,,,,1.0
75,,,,,,0.0
76,,,,,,0.0
77,,,,,,0.0
78,,,,,,1.0
79,,,,,,1.0
80,,,,,,0.0
81,,,,,,1.0
82,,,,,,1.0
83,,,,,,0.0
84,,,,,,1.0
85,,,,,,1.0
86,,,,,,0.0
87,,,,,,0.0
88,,,,,,1.0
89,,,,,,0.0
90,,,,,,0.0
91,,,,,,0.0
92,,,,,,0.0
93,,,,,,0.0
94,,,,,,0.0
95,,,,,,0.0
96,,,,,,0.0
97,,,,,,1.0
98,,,,,,1.0
99,,,,,,0.0
100,,,,,,0.0
101,,,,,,0.0
102,,,,,,0.0
103,,,,,,0.0
104,,,,,,0.0
105,,,,,,0.0
106,,,,,,1.0
107,,,,,,1.0
108,,,,,,0.0
109,,,,,,1.0
110,,,,,,0.0
111,,,,,,0.0
112,,,,,,0.0
113,,,,,,0.0
114,,,,,,0.0
115,,,,,,0.0
116,,,,,,0.0
117,,,,,,0.0
118,,,,,,0.0
119,,,,,,0.0
120,,,,,,0.0
121,,,,,,0.0
122,,,,,,0.0
123,,,,,,1.0
124,,,,,,0.0
125,,,,,,1.0
126,,,,,,0.0
127,,,,,,1.0
128,,,,,,1.0
129,,,,,,0.0
130,,,,,,0.0
131,,,,,,0.0
132,,,,,,0.0
133,,,,,,1.0
134,,,,,,0.0
135,,,,,,0.0
136,,,,,,1.0
137,,,,,,0.0
138,,,,,,0.0
139,,,,,,0.0
140,,,,,,0.0
141,,,,,,1.0
142,,,,,,1.0
143,,,,,,0.0
144,,,,,,0.0
145,,,,,,0.0
146,,,,,,1.0
147,,,,,,0.0
148,,,,,,0.0
149,,,,,,0.0
150,,,,,,0.0
151,,,,,,1.0
152,,,,,,0.0
153,,,,,,0.0
154,,,,,,0.0
155,,,,,,0.0
156,,,,,,1.0
157,,,,,,0.0
158,,,,,,0.0
159,,,,,,0.0
160,,,,,,0.0
161,,,,,,1.0
162,,,,,,0.0
163,,,,,,0.0
164,,,,,,0.0
165,,,,,,1.0
166,,,,,,1.0
167,,,,,,0.0
168,,,,,,0.0
169,,,,,,0.0
170,,,,,,0.0
171,,,,,,0.0
172,,,,,,1.0
173,,,,,,0.0
174,,,,,,0.0
175,,,,,,0.0
176,,,,,,0.0
177,,,,,,0.0
178,,,,,,0.0
179,,,,,,0.0
180,,,,,,0.0
181,,,,,,0.0
182,,,,,,0.0
183,,,,,,1.0
184,,,,,,1.0
185,,,,,,0.0
186,,,,,,1.0
187,,,,,,1.0
188,,,,,,0.0
189,,,,,,0.0
190,,,,,,1.0
191,,,,,,0.0
192,,,,,,1.0
193,,,,,,1.0
194,,,,,,1.0
195,,,,,,1.0
196,,,,,,0.0
197,,,,,,0.0
198,,,,,,1.0
199,,,,,,0.0
200,,,,,,0.0
201,,,,,,0.0
202,,,,,,0.0
203,,,,,,0.0
204,,,,,,1.0
205,,,,,,0.0
206,,,,,,0.0
207,,,,,,1.0
208,,,,,,1.0
209,,,,,,1.0
210,,,,,,0.0
211,,,,,,1.0
212,,,,,,0.0
213,,,,,,0.0
214,,,,,,0.0
215,,,,,,1.0
216,,,,,,1.0
217,,,,,,0.0
218,,,,,,1.0
219,,,,,,0.0
220,,,,,,1.0
221,,,,,,0.0
222,,,,,,0.0
223,,,,,,0.0
224,,,,,,1.0
225,,,,,,0.0
226,,,,,,1.0
227,,,,,,0.0
228,,,,,,0.0
229,,,,,,0.0
230,,,,,,1.0
231,,,,,,0.0
232,,,,,,0.0
233,,,,,,1.0
234,,,,,,0.0
235,,,,,,0.0
236,,,,,,0.0
237,,,,,,1.0
238,,,,,,0.0
239,,,,,,0.0
240,,,,,,0.0
241,,,,,,1.0
242,,,,,,0.0
243,,,,,,0.0
244,,,,,,0.0
245,,,,,,0.0
246,,,,,,0.0
247,,,,,,1.0
248,,,,,,1.0
249,,,,,,0.0
250,,,,,,0.0
251,,,,,,0.0
252,,,,,,0.0
253,,,,,,0.0
254,,,,,,0.0
255,,,,,,1.0
256,,,,,,1.0
257,,,,,,1.0
258,,,,,,1.0
259,,,,,,1.0
260,,,,,,0.0
261,,,,,,1.0
262,,,,,,0.0
263,,,,,,0.0
264,,,,,,0.0
265,,,,,,0.0
266,,,,,,0.0
267,,,,,,1.0
268,,,,,,1.0
269,,,,,,1.0
270,,,,,,0.0
271,,,,,,1.0
272,,,,,,1.0
273,,,,,,0.0
274,,,,,,1.0
275,,,,,,1.0
276,,,,,,0.0
277,,,,,,0.0
278,,,,,,0.0
279,,,,,,1.0
280,,,,,,0.0
281,,,,,,0.0
282,,,,,,0.0
283,,,,,,1.0
284,,,,,,0.0
285,,,,,,0.0
286,,,,,,1.0
287,,,,,,0.0
288,,,,,,1.0
289,,,,,,1.0
290,,,,,,1.0
291,,,,,,1.0
292,,,,,,0.0
293,,,,,,0.0
294,,,,,,0.0
295,,,,,,0.0
296,,,,,,0.0
297,,,,,,0.0
298,,,,,,1.0
299,,,,,,1.0
300,,,,,,1.0
301,,,,,,1.0
302,,,,,,0.0
303,,,,,,1.0
304,,,,,,0.0
305,,,,,,1.0
306,,,,,,1.0
307,,,,,,1.0
308,,,,,,0.0
309,,,,,,1.0
310,,,,,,1.0
311,,,,,,1.0
312,,,,,,0.0
313,,,,,,0.0
314,,,,,,0.0
315,,,,,,1.0
316,,,,,,1.0
317,,,,,,0.0
318,,,,,,1.0
319,,,,,,1.0
320,,,,,,0.0
321,,,,,,0.0
322,,,,,,1.0
323,,,,,,1.0
324,,,,,,0.0
325,,,,,,1.0
326,,,,,,0.0
327,,,,,,1.0
328,,,,,,1.0
329,,,,,,1.0
330,,,,,,1.0
331,,,,,,0.0
332,,,,,,0.0
333,,,,,,0.0
334,,,,,,1.0
335,,,,,,0.0
336,,,,,,0.0
337,,,,,,1.0
338,,,,,,1.0
339,,,,,,0.0
340,,,,,,1.0
341,,,,,,1.0
342,,,,,,0.0
343,,,,,,0.0
344,,,,,,0.0
345,,,,,,1.0
346,,,,,,1.0
347,,,,,,1.0
348,,,,,,1.0
349,,,,,,0.0
350,,,,,,0.0
351,,,,,,0.0
352,,,,,,0.0
353,,,,,,0.0
354,,,,,,0.0
355,,,,,,0.0
356,,,,,,1.0
357,,,,,,0.0
358,,,,,,1.0
359,,,,,,1.0
360,,,,,,0.0
361,,,,,,0.0
362,,,,,,0.0
363,,,,,,0.0
364,,,,,,0.0
365,,,,,,0.0
366,,,,,,1.0
367,,,,,,1.0
368,,,,,,1.0
369,,,,,,1.0
370,,,,,,1.0
371,,,,,,0.0
372,,,,,,0.0
373,,,,,,0.0
374,,,,,,0.0
375,,,,,,1.0
376,,,,,,1.0
377,,,,,,0.0
378,,,,,,0.0
379,,,,,,0.0
380,,,,,,1.0
381,,,,,,1.0
382,,,,,,0.0
383,,,,,,1.0
384,,,,,,0.0
385,,,,,,0.0
386,,,,,,0.0
387,,,,,,1.0
388,,,,,,0.0
389,,,,,,1.0
390,,,,,,1.0
391,,,,,,1.0
392,,,,,,0.0
393,,,,,,1.0
394,,,,,,1.0
395,,,,,,0.0
396,,,,,,0.0
397,,,,,,0.0
398,,,,,,0.0
399,,,,,,1.0
400,,,,,,1.0
401,,,,,,0.0
402,,,,,,0.0
403,,,,,,0.0
404,,,,,,0.0
405,,,,,,0.0
406,,,,,,0.0
407,,,,,,1.0
408,,,,,,0.0
409,,,,,,0.0
410,,,,,,0.0
411,,,,,,0.0
412,,,,,,1.0
413,,,,,,0.0
414,,,,,,1.0
415,,,,,,0.0
416,,,,,,1.0
417,,,,,,1.0
418,,,,,,0.0
419,,,,,,0.0
420,,,,,,0.0
421,,,,,,0.0
422,,,,,,0.0
423,,,,,,0.0
424,,,,,,0.0
425,,,,,,0.0
426,,,,,,1.0
427,,,,,,1.0
428,,,,,,0.0
429,,,,,,1.0
430,,,,,,1.0
431,,,,,,1.0
432,,,,,,1.0
433,,,,,,0.0
434,,,,,,0.0
435,,,,,,1.0
436,,,,,,0.0
437,,,,,,1.0
438,,,,,,0.0
439,,,,,,0.0
440,,,,,,1.0
441,,,,,,0.0
442,,,,,,0.0
443,,,,,,1.0
444,,,,,,1.0
445,,,,,,1.0
446,,,,,,1.0
447,,,,,,1.0
448,,,,,,1.0
449,,,,,,1.0
450,,,,,,0.0
451,,,,,,0.0
452,,,,,,0.0
453,,,,,,1.0
454,,,,,,0.0
455,,,,,,1.0
456,,,,,,0.0
457,,,,,,1.0
458,,,,,,1.0
459,,,,,,0.0
460,,,,,,1.0
461,,,,,,0.0
462,,,,,,0.0
463,,,,,,0.0
464,,,,,,0.0
465,,,,,,0.0
466,,,,,,0.0
467,,,,,,0.0
468,,,,,,0.0
469,,,,,,1.0
470,,,,,,0.0
471,,,,,,0.0
472,,,,,,1.0
473,,,,,,1.0
474,,,,,,0.0
475,,,,,,0.0
476,,,,,,0.0
477,,,,,,0.0
478,,,,,,0.0
479,,,,,,1.0
480,,,,,,0.0
481,,,,,,0.0
482,,,,,,0.0
483,,,,,,1.0
484,,,,,,1.0
485,,,,,,0.0
486,,,,,,1.0
487,,,,,,0.0
488,,,,,,0.0
489,,,,,,1.0
490,,,,,,0.0
491,,,,,,0.0
492,,,,,,0.0
493,,,,,,0.0
494,,,,,,0.0
495,,,,,,0.0
496,,,,,,1.0
497,,,,,,0.0
498,,,,,,0.0
499,,,,,,0.0
500,,,,,,0.0
501,,,,,,0.0
502,,,,,,0.0
503,,,,,,0.0
504,,,,,,1.0
505,,,,,,0.0
506,,,,,,1.0
507,,,,,,1.0
508,,,,,,0.0
509,,,,,,1.0
510,,,,,,1.0
511,,,,,,0.0
512,,,,,,1.0
513,,,,,,1.0
514,,,,,,0.0
515,,,,,,0.0
516,,,,,,1.0
517,,,,,,0.0
518,,,,,,1.0
519,,,,,,0.0
520,,,,,,1.0
521,,,,,,0.0
522,,,,,,0.0
523,,,,,,1.0
524,,,,,,0.0
525,,,,,,0.0
526,,,,,,1.0
527,,,,,,0.0
528,,,,,,0.0
529,,,,,,0.0
530,,,,,,1.0
531,,,,,,0.0
532,,,,,,0.0
533,,,,,,1.0
534,,,,,,0.0
535,,,,,,1.0
536,,,,,,0.0
537,,,,,,1.0
538,,,,,,0.0
539,,,,,,1.0
540,,,,,,1.0
541,,,,,,0.0
542,,,,,,0.0
543,,,,,,1.0
544,,,,,,0.0
545,,,,,,0.0
546,,,,,,1.0
547,,,,,,1.0
548,,,,,,0.0
549,,,,,,1.0
550,,,,,,1.0
551,,,,,,0.0
552,,,,,,0.0
553,,,,,,1.0
554,,,,,,1.0
555,,,,,,0.0
556,,,,,,1.0
557,,,,,,0.0
558,,,,,,1.0
559,,,,,,1.0
560,,,,,,0.0
561,,,,,,0.0
562,,,,,,0.0
563,,,,,,0.0
564,,,,,,0.0
565,,,,,,0.0
566,,,,,,0.0
567,,,,,,0.0
568,,,,,,0.0
569,,,,,,1.0
570,,,,,,1.0
571,,,,,,1.0
572,,,,,,1.0
573,,,,,,1.0
574,,,,,,0.0
575,,,,,,0.0
576,,,,,,1.0
577,,,,,,1.0
578,,,,,,0.0
579,,,,,,1.0
580,,,,,,1.0
581,,,,,,1.0
582,,,,,,0.0
583,,,,,,0.0
584,,,,,,0.0
585,,,,,,1.0
586,,,,,,0.0
587,,,,,,1.0
588,,,,,,0.0
589,,,,,,0.0
590,,,,,,0.0
591,,,,,,1.0
592,,,,,,0.0
593,,,,,,0.0
594,,,,,,0.0
595,,,,,,0.0
596,,,,,,1.0
597,,,,,,0.0
598,,,,,,0.0
599,,,,,,1.0
600,,,,,,1.0
601,,,,,,0.0
602,,,,,,0.0
603,,,,,,0.0
604,,,,,,1.0
605,,,,,,0.0
606,,,,,,0.0
607,,,,,,1.0
608,,,,,,1.0
609,,,,,,1.0
610,,,,,,0.0
611,,,,,,0.0
612,,,,,,1.0
613,,,,,,0.0
614,,,,,,0.0
615,,,,,,1.0
616,,,,,,0.0
617,,,,,,0.0
618,,,,,,1.0
619,,,,,,0.0
620,,,,,,0.0
621,,,,,,1.0
622,,,,,,1.0
623,,,,,,0.0
624,,,,,,0.0
625,,,,,,0.0
626,,,,,,0.0
627,,,,,,1.0
628,,,,,,0.0
629,,,,,,0.0
630,,,,,,1.0
631,,,,,,0.0
632,,,,,,1.0
633,,,,,,0.0
634,,,,,,0.0
635,,,,,,1.0
636,,,,,,0.0
637,,,,,,0.0
638,,,,,,0.0
639,,,,,,0.0
640,,,,,,0.0
641,,,,,,1.0
642,,,,,,0.0
643,,,,,,1.0
644,,,,,,1.0
645,,,,,,1.0
646,,,,,,0.0
647,,,,,,1.0
648,,,,,,0.0
649,,,,,,1.0
650,,,,,,0.0
651,,,,,,1.0
652,,,,,,0.0
653,,,,,,1.0
654,,,,,,0.0
655,,,,,,0.0
656,,,,,,0.0
657,,,,,,0.0
658,,,,,,0.0
659,,,,,,0.0
660,,,,,,1.0
661,,,,,,0.0
662,,,,,,0.0
663,,,,,,0.0
664,,,,,,1.0
665,,,,,,0.0
666,,,,,,0.0
667,,,,,,0.0
668,,,,,,0.0
669,,,,,,1.0
670,,,,,,1.0
671,,,,,,0.0
672,,,,,,0.0
673,,,,,,1.0
674,,,,,,0.0
675,,,,,,0.0
676,,,,,,0.0
677,,,,,,1.0
678,,,,,,0.0
679,,,,,,1.0
680,,,,,,0.0
681,,,,,,1.0
682,,,,,,0.0
683,,,,,,0.0
684,,,,,,0.0
685,,,,,,0.0
686,,,,,,0.0
687,,,,,,0.0
688,,,,,,0.0
689,,,,,,1.0
690,,,,,,1.0
691,,,,,,1.0
692,,,,,,1.0
693,,,,,,0.0
694,,,,,,0.0
695,,,,,,0.0
696,,,,,,0.0
697,,,,,,1.0
698,,,,,,0.0
699,,,,,,0.0
700,,,,,,1.0
701,,,,,,1.0
702,,,,,,0.0
703,,,,,,0.0
704,,,,,,0.0
705,,,,,,0.0
706,,,,,,1.0
707,,,,,,1.0
708,,,,,,1.0
709,,,,,,1.0
710,,,,,,1.0
711,,,,,,0.0
712,,,,,,1.0
713,,,,,,0.0
714,,,,,,0.0
715,,,,,,0.0
716,,,,,,1.0
717,,,,,,1.0
718,,,,,,0.0
719,,,,,,0.0
720,,,,,,1.0
721,,,,,,0.0
722,,,,,,0.0
723,,,,,,0.0
724,,,,,,1.0
725,,,,,,0.0
726,,,,,,1.0
727,,,,,,1.0
728,,,,,,0.0
729,,,,,,0.0
730,,,,,,1.0
731,,,,,,0.0
732,,,,,,0.0
733,,,,,,0.0
734,,,,,,0.0
735,,,,,,0.0
736,,,,,,0.0
737,,,,,,1.0
738,,,,,,0.0
739,,,,,,0.0
740,,,,,,1.0
741,,,,,,0.0
742,,,,,,1.0
743,,,,,,0.0
744,,,,,,1.0
745,,,,,,0.0
746,,,,,,0.0
747,,,,,,1.0
748,,,,,,0.0
749,,,,,,0.0
750,,,,,,1.0
751,,,,,,1.0
752,,,,,,0.0
753,,,,,,0.0
754,,,,,,1.0
755,,,,,,1.0
756,,,,,,0.0
757,,,,,,0.0
758,,,,,,0.0
759,,,,,,1.0
760,,,,,,0.0
761,,,,,,0.0
762,,,,,,1.0
763,,,,,,1.0
764,,,,,,0.0
765,,,,,,1.0
766,,,,,,0.0
767,,,,,,0.0
768,,,,,,0.0
769,,,,,,0.0
770,,,,,,0.0
771,,,,,,0.0
772,,,,,,0.0
773,,,,,,0.0
774,,,,,,1.0
775,,,,,,0.0
776,,,,,,0.0
777,,,,,,1.0
778,,,,,,0.0
779,,,,,,1.0
780,,,,,,1.0
781,,,,,,1.0
782,,,,,,0.0
783,,,,,,0.0
784,,,,,,0.0
785,,,,,,0.0
786,,,,,,1.0
787,,,,,,0.0
788,,,,,,1.0
789,,,,,,0.0
790,,,,,,0.0
791,,,,,,0.0
792,,,,,,0.0
793,,,,,,0.0
794,,,,,,0.0
795,,,,,,0.0
796,,,,,,1.0
797,,,,,,1.0
798,,,,,,0.0
799,,,,,,0.0
800,,,,,,0.0
801,,,,,,1.0
802,,,,,,1.0
803,,,,,,1.0
804,,,,,,1.0
805,,,,,,0.0
806,,,,,,0.0
807,,,,,,0.0
808,,,,,,0.0
809,,,,,,1.0
810,,,,,,0.0
811,,,,,,0.0
812,,,,,,0.0
813,,,,,,0.0
814,,,,,,0.0
815,,,,,,0.0
816,,,,,,0.0
817,,,,,,0.0
818,,,,,,0.0
819,,,,,,0.0
820,,,,,,1.0
821,,,,,,1.0
822,,,,,,0.0
823,,,,,,1.0
824,,,,,,0.0
825,,,,,,0.0
826,,,,,,0.0
827,,,,,,1.0
828,,,,,,1.0
829,,,,,,1.0
830,,,,,,1.0
831,,,,,,1.0
832,,,,,,0.0
833,,,,,,0.0
834,,,,,,0.0
835,,,,,,1.0
836,,,,,,0.0
837,,,,,,0.0
838,,,,,,1.0
839,,,,,,1.0
840,,,,,,0.0
841,,,,,,0.0
842,,,,,,1.0
843,,,,,,0.0
844,,,,,,0.0
845,,,,,,0.0
846,,,,,,0.0
847,,,,,,0.0
848,,,,,,0.0
849,,,,,,1.0
850,,,,,,0.0
851,,,,,,0.0
852,,,,,,0.0
853,,,,,,1.0
854,,,,,,0.0
855,,,,,,1.0
856,,,,,,1.0
857,,,,,,1.0
858,,,,,,1.0
859,,,,,,0.0
860,,,,,,0.0
861,,,,,,0.0
862,,,,,,1.0
863,,,,,,0.0
864,,,,,,0.0
865,,,,,,1.0
866,,,,,,1.0
867,,,,,,0.0
868,,,,,,0.0
869,,,,,,1.0
870,,,,,,0.0
871,,,,,,1.0
872,,,,,,0.0
873,,,,,,0.0
874,,,,,,1.0
875,,,,,,1.0
876,,,,,,0.0
877,,,,,,0.0
878,,,,,,0.0
879,,,,,,1.0
880,,,,,,1.0
881,,,,,,0.0
882,,,,,,0.0
883,,,,,,0.0
884,,,,,,0.0
885,,,,,,0.0
886,,,,,,0.0
887,,,,,,1.0
888,,,,,,0.0
889,,,,,,1.0
890,,,,,,0.0
